City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,buriti alegre,-18.14,-49.0403,31.06,28,4,4.21,BR,1706379587
349,ngawi,-7.4038,111.4461,23.71,93,100,1.28,ID,1706379587
350,mushie,-3.0167,16.9,24.98,76,76,1.17,CD,1706379588
351,moissala,8.3404,17.7663,27.22,19,3,2.23,TD,1706379588
352,tura,25.5198,90.2201,12.02,57,0,1.07,IN,1706379588
353,maracanau,-3.8767,-38.6256,30.89,83,40,7.2,BR,1706379588
354,mossendjo,-2.9506,12.7261,22.83,93,77,0.48,CG,1706379589
355,rongelap,11.1635,166.8941,25.43,67,100,5.61,MH,1706379589
356,chu,43.5983,73.7614,-7.27,94,90,2.06,KZ,1706379589
357,chandbali,20.7833,86.7667,17.79,46,0,1.41,IN,1706379589
